appid,name,playtime_forever,last_played
552990,World of Warships,483,1970-01-01 00:00:00
553850,HELLDIVERS™ 2,99,1970-01-01 00:00:00
1329410,雀魂麻将(MahjongSoul),58,1970-01-01 00:00:00
431960,Wallpaper Engine,38,1970-01-01 00:00:00
2015270,Rotwood,27,1970-01-01 00:00:00
646570,Slay the Spire,7,1970-01-01 00:00:00
2246340,Monster Hunter Wilds,1,1970-01-01 00:00:00
3529590,Among Us 3D Demo,1,1970-01-01 00:00:00
2981670,The King is Watching Demo,1,1970-01-01 00:00:00
3068740,Ground of Aces Demo,0,1970-01-01 00:00:00
2860650,Let's Patiti! Demo,0,1970-01-01 00:00:00
3487310,Bongo Cat Demo,0,1970-01-01 00:00:00
2958050,Machine Mind Demo,0,1970-01-01 00:00:00
2940200,Haste: Broken Worlds Demo,0,1970-01-01 00:00:00
3465270,Solarpunk Demo,0,1970-01-01 00:00:00
